,station_name,station_lat,station_lng,Sat_inflow,Sat_outflow,Sun_inflow,Sun_outflow,Mon_inflow,Mon_outflow,Tues_inflow,Tues_outflow,Wed_inflow,Wed_outflow,Thur_inflow,Thur_outflow,Fri_inflow,Fri_outflow
63,1 Ave & E 78 St,40.77140426,-73.9535166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,E 19 St & 3 Ave,40.73624527,-73.98473765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8 Ave & W 52 St,40.76370739,-73.9851615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Lexington Ave & Classon Ave,40.68676793,-73.95928168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Centre St & Chambers St,40.71273266,-74.0046073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,6 Ave & Canal St,40.72243797,-74.00566443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,E 89 St & 3 Ave,40.7806284,-73.9521667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1 Ave & E 68 St,40.76500525,-73.95818491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,9 Ave & W 28 St,40.74937024193277,-73.99923384189606,4.22638888888889,4.281770833333334,4.910763888888888,4.882638888888889,5.405034722222222,5.391840277777777,5.269270833333333,5.194270833333333,5.084895833333333,5.093923611111111,5.5993055555555555,5.469270833333333,5.093055555555556,5.152430555555555
72,5 Ave & E 73 St,40.77282817,-73.96685276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Grand St & Greene St,40.72165481,-74.00234737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Cathedral Pkwy & Broadway,40.804213,-73.96699104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,W 47 St & 10 Ave,40.76269882,-73.99301222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Columbus Ave & W 72 St,40.7770575,-73.97898475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Liberty St & Broadway,40.70905623,-74.01043382,2.730729166666667,2.6166666666666667,5.935416666666668,6.199652777777778,6.470312500000001,6.581597222222221,6.622569444444444,6.510243055555556,6.227083333333334,6.246180555555555,6.243402777777778,6.2859375,3.2159722222222222,3.061458333333333
78,Union St & 4 Ave,40.6772744,-73.98282002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Grand St & Elizabeth St,40.718822,-73.99596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
